variant,lemma
aferrado,aferrar
aferrandome,aferrar
aferrir,aferrar
aferro,aferrar
aficion,aficionir
aficionado,aficionir
afición,aficionir
afilada,afilar
afilado,afilar
afilador,afilar
afirmacion,afirmar
afirmación,afirmar
afirmativo,afirmar
afirmo,afirmar
aflautado,aflautir
aflojado,afloje
aflojo,afloje
afrento,afrenta
africa,africar
africo,africar
afuera,afuerar
afuero,afuerar
afán,afanar
afín,afin
agacho,agachar
agarra,agarrar
agarrada,agarrar
agarrado,agarrar
agarramos,agarrar
agarrandolo,agarrar
agarrandome,agarrar
agarrir,agarrar
agarro,agarrar
agasajo,agasajar
agilidad,agil
agitado,agitar
agitir,agitar
agobiante,agobiar
agobio,agobiar
agonico,agonica
agonizante,agonizar
agonizo,agonizar
agotado,agotar
agotador,agotar
agotamiento,agotar
agoto,agotar
agradable,agradar
agradecido,agradecer
agradecimiento,agradecer
agradecio,agradeci
agrado,agradar
agredido,agredir
agregado,agregar
agregamos,agregar
agregario,agregariar
agrego,agregar
agresividad,agresivo
agrupacion,agrupar
agua,aguar
aguantado,aguantar
aguantando,aguantar
aguante,aguantar
aguantemos,aguantar
aguantir,aguantar
aguarme,aguar
aguila,aguilar
agujereado,agujerear
agujereadora,agujerear
agujero,agujerear
ahogada,ahogar
ahogado,ahogar
ahogo,ahogar
ahorcado,ahorcar
ahorrista,ahorrar
ahorro,ahorrar
aindiado,aindiada
aire,air
airear,air
aislado,aislar
ajedrezado,ajedrez
ajena,ajenar
ajeno,ajenar
ajetreado,ajetrear
ajustado,ajustar
ajuste,ajustar
alarde,alardear
alargado,alargar
alargo,alargar
alarm,alarmar
alarma,alarmar
alarmado,alarmar
alarmante,alarmar
alarmantes,alarmar
alarmismo,alarmar
alarmista,alarmar
albino,albín
alborotada,alborotar
alborotado,alborotar
alboroto,alborotar
alcanzado,alcanzar
alcanzarme,alcanzar
alcanzas,alcanzar
alcanzo,alcanzar
alcoholico,alcohol
alcoholismo,alcohol
alegr,alegrar
alegre,alegrar
alegremente,alegrar
alegria,alegriar
alegrio,alegriar
alejado,alejar
alejamiento,alejar
alem,alemar
aleman,alemar
alemana,alemán
alentado,alentar
alentador,alentar
alerta,alertar
alertado,alertar
alertas,alertar
alerto,alertar
alerón,aleronir
aleta,aletear
alfabetizado,alfabetizada
alfonsina,alfonsin
alfonsín,alfonsin
algodón,algodon
alhaja,alhajar
alia,ali
alias,ali
alicaido,alicair
alicante,alicair
alice,alicair
alimentacion,alimentar
alimentado,alimentar
alimento,alimentar
aliviado,aliviar
alivio,aliviar
almacen,almacir
almohado,almohada
almohadón,almohadon
almondigas,almondiga
almuerzo,almuerza
alocado,alocada
alojamiento,alojar
aloje,alojar
alquilado,alquilar
alquilaste,alquilar
alquiler,alquilar
alquilo,alquilar
altanero,altanera
alteración,alterar
alterado,alterar
alteres,alterar
alternativo,alternativa
altura,alturar
alucinacion,alucinar
alucinación,alucinar
alucinado,alucinar
alucinante,alucinar
alumbrado,alumbrar
alumbramos,alumbrar
alumnado,alumna
alumno,alumna
amaestrado,amaestrar
amago,amagar
amague,amagar
amanecido,amanecer
amanecio,amanecia
amansado,amansar
amare,amar
amargado,amargar
amargamente,amargar
amargo,amargar
amarillento,amarillentar
amarillo,amarilla
amasa,amasar
amasado,amasar
amazona,amazon
ambientacion,ambiente
ambientador,ambiente
ambiguo,ambigua
ambiguos,ambigua
ambulancia,ambulante
amenaza,amenazar
amenazado,amenazar
amenazandolo,amenazar
amenazante,amenazar
amenazo,amenazar
ameno,amen
americanismos,americano
americo,america
amia,ami
amigo,amiga
amiguito,amiguita
amio,ami
amiocho,amioch
amistosa,amistad
amistosamente,amistad
amistoso,amistad
amoldado,amoldir
amore,amor
amoroso,amor
amparado,amparar
amparo,amparar
amputado,amputar
anacronismo,anacronica
analfabeta,analfabetar
analfabetismo,analfabetar
analfabeto,analfabetar
analia,analiar
analogico,analogica
anaranjado,anaranjar
anchoa,ancho
anchoas,ancho
anciano,anciana
andaluza,andaluz
andara,andar
andrea,andrear
andreo,andrear
anduve,anduvir
anecdota,anecdotar
anecdotica,anecdotar
anecdotico,anecdotar
anestesio,anestesia
anfitrion,anfitrionar
anfitrión,anfitrionar
angelo,angel
angiula,angiular
angiulo,angiular
angustia,angustiar
angustiado,angustiar
angustioso,angustiar
anhelada,anhelar
anhelado,anhelar
anhelo,anhelar
anillado,anillo
animado,animar
anime,animar
animo,animar
animosidad,animar
anonimo,anonima
anoranza,anoro
anorexico,anorexica
anotacion,anotar
anotación,anotar
anotado,anotar
anotador,anotar
anoto,anotar
ansiosa,ansiós
ansioso,ansiós
antenista,antena
anteojos,anteojo
anticipacion,anticipar
anticipado,anticipar
anticipo,anticipar
antiguamente,antiguo
antitetanico,antitetanica
antoje,antojar
antojo,antojar
anudo,anudir
anulado,anular
anunciado,anunciar
anuncio,anunciar
apacible,apacer
apaga,apagar
apagado,apagar
apagamos,apagar
apago,apagar
aparatosamente,aparato
aparecemos,aparecer
apareceran,aparecerar
apareci,apareciar
aparecia,apareciar
aparecido,aparecer
apareciendose,aparecer
apareciera,aparecer
aparecio,apareciar
apareciste,aparecer
aparente,aparentar
aparezco,aparezcar
apartado,apartar
aparte,apartar
aparto,apartar
apasionado,apasionar
apasionante,apasionar
apela,apelar
apellido,apellir
apilado,apilada
aplasta,aplastar
aplastada,aplastar
aplastado,aplastar
aplaste,aplastar
aplasto,aplastar
aplaudi,aplaudiar
aplaudio,aplaudiar
aplaudir,aplaudar
aplicable,aplicado
aplicacion,aplicado
aplicación,aplicado
apodo,apodar
aportación,aportar
aportado,aportar
aporte,aportar
apostado,apostar
apostandolo,apostar
apostasio,apostasia
apostat,apostatar
apostata,apostatar
apostatir,apostatar
apostato,apostatar
apoyado,apoyar
apoyarlo,apoyar
apoyo,apoyar
aprecio,apreciar
aprend,aprendar
aprender,aprendar
aprenderir,aprenderar
aprendi,aprendiar
aprendido,aprendar
aprendimos,aprendar
aprendio,aprendiar
aprendo,aprendar
apresurado,apresurar
apretado,apretar
apretir,apretar
apreto,apretar
apretujada,apretujar
aprobacion,aprobar
aprobado,aprobar
aprober,aprobar
apropiado,apropiar
aprovecha,aprovechar
aproveche,aprovechar
aprovecho,aprovechar
apuesto,apuesta
apunalado,apunalar
apuntado,apuntar
apuntandome,apuntar
apunte,apuntar
apunto,apuntar
apurada,apurar
apurado,apurar
apurate,apuratir
apurer,apurar
apuro,apurar
arab,arabar
arabe,arabar
arana,aranar
aranir,aranar
arbitrado,arbitrar
arbitro,arbitrar
archivado,archivar
archivo,archivar
arduo,ardua
argentina,argentinar
argentinamente,argentinar
argentinidad,argentinar
argentinismo,argentinar
argentino,argentinar
argumento,argumentar
arias,ari
ario,ari
armonioso,armonia
aroma,aromar
arpillero,arpillera
arqueado,arquear
arqueir,arquear
arquitecto,arquitecta
arranco,arrancar
arrasado,arrasar
arrasador,arrasar
arraso,arrasar
arrastrado,arrastrar
arrastro,arrastrar
arrebato,arrebatar
arregla,arreglar
arreglado,arreglar
arreglandome,arreglar
arreglir,arreglar
arreglo,arreglar
arremete,arremeta
arremetio,arremeti
arremeto,arremeta
arrepenti,arrepentiar
arrepentida,arrepentir
arrepentido,arrepentir
arrepient,arrepientar
arrepientir,arrepientar
arribado,arribar
arribo,arribar
arriesgado,arriesgar
arrodillado,arrodillar
arrodillamos,arrodillar
arrodillo,arrodillar
arroj,arrojar
arrojandola,arrojar
arrojarlo,arrojar
arrojarme,arrojar
arrojo,arrojar
arropado,arropar
arrope,arropar
arropo,arropar
arruga,arrugar
arrugado,arrugar
arrugas,arrugar
arrugo,arrugar
arruino,arruinar
arrullador,arrullar
arrullo,arrullar
articulable,articular
articulación,articular
articulado,articular
articulo,articular
artistica,artista
artistico,artista
arán,aranar
asaltir,asaltar
asalto,asaltar
ascendencia,ascendente
asediado,asedio
asegurado,asegurar
aseguradora,asegurar
aseguro,asegurar
asentado,asentir
asentia,asentiar
asento,asentir
asesinado,asesinar
asesinara,asesinar
asesinaran,asesinar
asesino,asesinar
asfaltado,asfalto
asfixia,asfixiar
asfixiado,asfixiar
asfixiante,asfixiar
asfixiara,asfixiar
asfixio,asfixiar
asiduo,asidua
asiento,asiente
asimila,asimilar
asimilable,asimilar
asistencia,asistente
asistido,asistir
asociacion,asociar
asociación,asociar
asociado,asociar
asoma,asomar
asomado,asomar
asombrado,asombrar
asombro,asombrar
asombroso,asombrar
asomo,asomar
aspirante,aspirar
asqueado,asquear
asquerosidad,asqueroso
asquete,asquetar
astillado,astillada
astrologicamente,astrologo
astrologico,astrologo
asumido,asumir
asust,asustar
asusta,asustar
asustadizo,asustadiza
asustado,asustar
asustas,asustar
asustir,asustar
asusto,asustar
atacante,atacar
atasca,atascar
atascado,atascar
atasco,atascar
ataviado,ataviar
ateir,atear
atender,atendar
atendia,atendiar
atendido,atendar
atendiendolo,atendar
atendio,atendiar
atentado,atentar
atentamente,atentar
atento,atentar
ateo,atear
aterrado,aterrir
aterrador,aterrir
aterradora,aterrir
aterrorizado,aterrorizar
atesoro,atesorar
atiborrado,atiborrir
atienda,atiendar
atinamos,atinar
atino,atinar
atletico,atleta
atletismo,atleta
atorado,atorar
atraco,atracar
atraer,atraar
atragantado,atragantar
atraido,atraar
atrapado,atrapar
atrapo,atrapar
atrasa,atrasar
atrasado,atrasar
atravesado,atravesar
atraveso,atravesar
atrever,atrevar
atrevido,atrevar
atreviir,atreviar
atrevimiento,atrevar
atrevir,atrevar
atropellado,atropellar
atropello,atropellar
aturden,aturdar
aturdida,aturdar
aturdido,aturdar
aullan,aullar
aullido,aullar
aullir,aullar
aullo,aullar
aumentativo,aumentar
aumento,aumentar
auroro,aurora
ausente,ausentar
auspiciado,auspiciar
auspiciante,auspiciar
auspicio,auspiciar
autobús,autobus
autoctono,autoctonar
autoctón,autoctonar
automatica,automata
automaticamente,automata
automatico,automata
automatismo,automata
automovilismo,automovil
autora,autor
autoridad,autor
aval,avalar
avalandola,avalar
avanzada,avanzar
avanzado,avanzar
avenida,avena
aventura,aventurar
aventuro,aventurar
avergonzado,avergonzar
avergonzo,avergonzar
averiado,averia
averiguacion,averiguar
averiguamos,averiguar
avisa,avisar
avisado,avisar
avisamos,avisar
avise,avisar
avisen,avisar
aviso,avisar
avispado,avispa
avivir,avivar
avivo,avivar
avión,avion
ayuda,ayudar
ayudado,ayudar
ayudame,ayudamir
ayudante,ayudar
ayudarme,ayudar
ayudase,ayudar
ayude,ayudar
ayudo,ayudar
ayuno,ayuna
azaroso,azar
azulado,azul
baba,babear
babeir,babear
bagre,bagr
bail,bailar
baila,bailar
bailaba,bailar
bailando,bailar
bailarina,bailarin
bailarín,bailarin
baile,bailar
bailo,bailar
baj,bajar
baja,bajar
bajado,bajar
bajamos,bajar
bajario,bajariar
bajarlo,bajar
baje,bajar
bajito,bajitar
bak,baker
balance,balancear
balanceandome,balancear
balanceir,balancear
balances,balancear
balbuceir,balbucear
balcón,balcon
bald,baldear
balde,baldear
balón,balon
bambina,bambín
bambino,bambín
ban,banar
bana,banar
banada,banar
banado,banar
banalidad,banal
banca,bancar
banco,bancar
banda,bandar
bandido,bandar
bando,bandar
banero,banera
banir,banar
bano,banar
baraja,barajar
barata,baratar
barato,baratar
barba,barbar
barbara,barbar
barbarela,barbarelar
barbaridad,barbaro
barcelona,barcelonar
barcelonesa,barcelonés
barcelón,barcelonar
barco,barca
barra,barrer
barrabravo,barrabrava
barranco,barranca
barriga,barrigar
barro,barrer
basado,basar
basandome,basar
base,basar
basicamente,basica
basico,basica
baso,basar
basta,bastar
basto,bastar
bata,batar
batalla,batallar
batato,batata
baterio,bateria
batida,batar
batido,batar
batidoro,batidora
batir,batar
bautice,bauticir
bautiza,bautizar
bautizado,bautizar
bautizamos,bautizar
bautizarme,bautizar
beb,beber
beba,beber
bebe,beber
beberemos,beber
bebes,beber
bebi,bebiar
bebida,beber
bebido,beber
bebio,bebiar
bebo,beber
belgica,belgicar
belgico,belgicar
belicoso,belico
bella,bell
bello,bell
belo,bela
bendito,bendita
beneficiado,beneficiar
beneficie,beneficiar
beneficio,beneficiar
benefico,benefica
bengala,bengal
benir,benar
berrinche,berrinch
berta,bertar
berto,bertar
besado,besar
bese,besar
beso,besar
bestia,bestiar
beto,beta
bicentenario,bicentenaria
bichos,bicho
bidón,bidon
bienvenido,bienvenida
bigot,bigotar
bigote,bigotar
bill,billar
biografica,biografo
biografico,biografo
biologico,biologo
biotecnologio,biotecnologia
birmano,birmana
birom,biromir
birome,biromir
bisabuela,bisabuelar
bisabuelo,bisabuelar
bisagra,bisagrar
bizarro,bizarra
blanco,blanca
blasfema,blasfemar
blasfemir,blasfemar
blogonovelo,blogonovela
bloque,bloquear
bloqueado,bloquear
bocado,boca
bochornoso,bochorno
bocina,bocín
boco,boca
bola,bol
bolanos,bolano
bolido,bol
bolita,bolitar
bolo,bol
bolsa,bols
bolsito,bolsita
bolso,bols
boluda,boludar
boludito,boludita
boludo,boludar
boludon,boludonar
boludona,boludonar
boludos,boludar
bomba,bombear
bombardeo,bombardee
bombo,bombear
bombón,bombon
bono,bon
bordado,bordar
borde,bordar
bordo,bordar
borges,borg
borr,borrar
borra,borrar
borrachero,borrachera
borracho,borracha
borrachos,borracha
borrachín,borrachin
borrado,borrar
borrarlo,borrar
borrir,borrar
borro,borrar
borroneado,borronear
borroso,borrosa
borrón,borronear
bosc,boscar
bostezo,bostezar
bote,bota
botello,botella
botín,botin
botón,boton
boya,boyar
bragado,braga
brasilena,brasilén
brasileno,brasilén
bravo,brava
brevisimo,brevisima
brigado,brigada
brillo,brillar
brilloso,brillós
brindado,brindar
brindir,brindar
brindo,brindar
bromeando,broma
bronca,broncar
bronce,broncar
bronceado,broncar
bronco,broncar
brote,brotar
broto,brotar
brujo,bruja
brutalidad,brutal
bruto,bruta
buchone,buchon
buenisimo,buenisima
bufe,bufa
bufo,bufa
burela,burelar
burgues,burger
burla,burlar
burlandome,burlar
burocratico,burocrata
burro,burra
burruchaga,burruchagar
busca,buscar
buscado,buscar
buscandolo,buscar
buscarlo,buscar
buscarme,buscar
buscaste,buscar
busco,buscar
busque,busquer
buzón,buzon
bés,besar
cabala,cabal
caballerosidad,caballero
caballo,caball
cabeceada,cabecear
cabeceir,cabecear
cabeza,cabezar
cabezón,cabezon
cabida,caber
cabizbajo,cabizbaja
cabo,caber
cabrero,cabrera
cabro,cabre
cabsha,cabshir
caca,cacar
cacareamos,cacarear
cacareir,cacarear
cacareo,cacarea
cachada,cachar
cachado,cachar
cache,cachar
cachear,cachar
cachetada,cachet
cachetado,cachet
cachete,cachet
cacheteado,cachet
cacho,cachar
cachondo,cachonda
caco,cacar
cadencioso,cadencia
caducada,caducar
caducado,caducar
caduco,caducar
caf,cafar
cafe,cafar
caga,cagar
cagabir,cagabar
cagada,cagar
cagado,cagar
cagarlo,cagar
cagarme,cagar
cagaste,cagar
cago,cagar
cai,caiar
caia,caiar
caido,caida
caio,caiar
caiste,caistir
cajero,cajera
cajoneado,cajon
cajón,cajon
cal,calar
calada,calar
calado,calar
calamidad,calamar
calcado,calcar
calce,calcar
calco,calcar
calculado,calcular
calculadora,calcular
calculo,calcular
calentador,calentar
calento,calentar
calesita,calesitar
calido,calar
caliente,calient
calificación,calificacion
calificado,calificar
calificativo,calificar
callado,callar
calle,callar
callir,callar
callo,callar
calma,calmar
calmado,calmar
calmarme,calmar
calmo,calmar
calo,calar
caluroso,calurosa
calvo,calve
calza,calzar
calzado,calzar
calzo,calzar
cama,camar
camada,camar
camara,camar
camarado,camarada
camarero,camarera
camarografo,camarografa
cambia,cambiar
cambiada,cambiar
cambiado,cambiar
cambiandolo,cambiar
cambiara,cambiar
cambie,cambiar
cambio,cambiar
camin,caminar
camina,caminar
camine,caminar
camino,caminar
camisa,camiser
camión,camion
camp,campear
campana,campán
campanada,campán
campanado,campán
campeona,campeon
campestre,campestr
campeón,campeon
campinga,camping
campingas,camping
campo,campear
camuflado,camuflar
camín,caminar
cana,can
canada,can
canado,can
canarias,canario
canasto,canasta
cancel,cancelar
cancelacion,cancelar
cancelación,cancelar
canción,cancion
candado,candir
candela,candelar
canelón,canelon
canibalismo,canibal
caniches,caniche
cano,can
cansa,cansar
cansada,cansar
cansado,cansar
cansadoro,cansador
cansaria,cansariar
cansariir,cansariar
canser,cansar
cansir,cansar
canta,cantar
cantado,cantar
cantamos,cantar
cantando,cantar
cante,cantar
canto,cantar
capa,capar
capacitado,capacitar
caperucito,caperucita
capita,capitar
capitalismo,capital
capitalista,capital
capitan,capitar
capo,capar
caprichoso,capricho
capto,captar
cara,car
caraco,caraca
caracteristico,caracteristica
caracterizo,caracterizar
caradeform,caradeformir
caradeforme,caradeformir
caraegoma,caraegomar
caraegomo,caraegomar
carambo,caramba
carar,car
carbonico,carbon
carbono,carbon
carcajado,carcajada
cardena,cardenar
cardone,cardonir
careta,caretear
carga,cargar
cargado,cargar
cargo,cargar
caribeno,caribena
carinosa,carino
carinoso,carino
carisimo,carisima
carlos,carl
carmencita,carmencitir
carmencito,carmencitir
caro,car
carpa,carpeir
carpe,carpeir
carpeta,carpetear
carpeto,carpetear
carretero,carretera
carrusel,carruselir
carta,carter
cartele,cartel
cartero,cartera
cartón,carton
casado,casar
casamos,casar
casarme,casar
cascada,cascir
cascara,cascir
casco,cascir
cascote,cascotear
casera,caserar
casero,caserar
caset,casetar
casete,casetar
casir,casar
caso,casar
castigado,castigar
castigo,castigar
castillo,castilla
castrado,castrar
castro,castrar
casualidad,casual
casualmente,casual
catalan,catalar
catalana,catalán
catalanista,catalán
catalogarlo,catalogar
catalogo,catalogar
cataluna,catalunir
catalún,catalunir
catastrofe,catastrof
categorio,categoria
catre,catr
causa,causar
causado,causar
causo,causar
cautivarla,cautivar
cava,cavar
cavernosa,caverna
cayera,cayerar
caza,cazar
cazas,cazar
cazo,cazar
cazuelo,cazuela
cebir,cebar
cebollo,cebolla
cede,cedar
ceder,cedar
cedido,cedar
ceja,cejar
cela,celar
celebr,celebrar
celebracion,celebrar
celebrado,celebrar
celebridad,celebrar
celeste,celestir
celo,celar
celosamente,celar
celula,celular
cena,cenar
cenabamos,cenabar
cenamos,cenar
ceno,cenar
censo,censar
censura,censurar
centena,centenar
centenario,centenaria
centir,center
centrado,centrar
centrarme,centrar
centro,centrar
centroamerico,centroamerica
cepillo,cepillar
cera,cer
ceramista,ceramica
cercado,cerca
cerdo,cerda
cero,cer
cerra,cerrar
cerrada,cerrar
cerrado,cerrar
cerramos,cerrar
cerrario,cerrariir
cerrir,cerrar
cerro,cerrar
certificado,certificar
chabona,chabon
chachara,chacho
chamuscado,chamuscar
chanchada,chancha
chanchas,chancha
chancho,chancha
changa,chang
chango,chang
chape,chapa
charl,charlar
charla,charlar
charlamos,charlar
charlo,charlar
charlos,charlar
charo,char
charruo,charrua
chat,chatear
chato,chatear
checo,checa
chica,chicir
chicha,chich
chiche,chich
chico,chicir
chicuanto,chicuanta
chifla,chiflar
chiflado,chiflar
chiflido,chiflar
chiflo,chiflar
chileno,chilena
chillo,chillar
chillón,chillon
china,chinir
chinche,chinch
chinchulín,chinchulin
chinchón,chinchon
chinesse,chinessa
chinita,chinitar
chinito,chinitar
chino,chinir
chiquitito,chiquitita
chiquito,chiquita
chist,chistar
chiste,chistar
chistir,chistar
chocado,chocar
chocamos,chocar
choco,chocar
chocolatada,chocolate
chola,cholar
chorrada,chorrear
chorreada,chorrear
chorreir,chorrear
chorro,chorrear
choto,chota
chovinista,chovinismo
christian,christiar
christie,christiar
christina,christinar
chuan,chue
chufa,chuf
chuic,chuicir
chupa,chupar
chupame,chupamir
chupan,chupar
chupaste,chupar
chupen,chupar
chusma,chusmear
chusmeir,chusmear
cibercafe,cibercaf
cicatriz,cicatrizar
cicatrizada,cicatrizar
ciegamente,ciego
ciegas,ciego
cientifico,cientifica
cierre,cierra
cigarrillos,cigarrillo
cilindrada,cilindro
cincel,cincelar
cinta,cintar
cinto,cintar
cinturón,cinturon
circulacion,circular
circulante,circular
circule,circular
circulo,circular
circulos,circular
cita,citar
citamos,citar
civiles,civil
civilidad,civil
civilizacion,civilizado
civilización,civilizado
cizana,cizán
clandestinamente,clandestina
clandestinidad,clandestina
clandestino,clandestina
claramente,clarear
clarisimo,clarisima
clasico,clasica
clasificacion,clasifico
claudio,claudia
clavado,clavar
clave,clavar
clavo,clavar
clienta,client
cliente,client
clon,clonar
clonado,clonar
cobarde,cobard
cobija,cobijar
cobra,cobrar
cobrado,cobrar
cobrarlo,cobrar
cobre,cobrar
cobro,cobrar
coca,cocer
cochambrosa,cochambre
cochambrosas,cochambre
cochinada,cochinar
cochino,cochinar
cocido,cocer
cocina,cocinar
cocinado,cocinar
cocine,cocinar
cocinero,cocinera
cocino,cocinar
coco,cocer
cocín,cocinar
codo,codear
cog,coger
cogi,cogiar
cogia,cogiar
cogido,coger
cogimos,coger
cogote,cogotear
coherencia,coherente
cojo,cojar
cola,colar
colaboracion,colaborar
colaborador,colaborar
colchón,colchon
cole,colar
colear,colar
coleccion,coleccionar
coleccionismo,coleccionar
coleccionista,coleccionar
colectivo,colecta
colga,colgar
colgabamos,colgabar
colgada,colgar
colgado,colgar
colgario,colgariar
colgo,colgar
colgue,colgar
colision,colisionir
colisionador,colisionir
colmado,colmo
coloca,colocar
colocado,colocar
coloco,colocar
colonización,colonizado
coloquelo,coloquele
color,colorir
colorada,colorir
colorado,colorir
colorida,colorir
colorido,colorir
columnista,columna
com,comar
coma,comar
comadrejo,comadreja
comandante,comandado
combate,combatir
combinación,combinado
come,comar
comediante,comedia
comen,comar
comence,comencer
comencir,comencer
comente,comentar
comentir,comentar
comento,comentar
comenzado,comenzar
comenzaria,comenzariar
comenzo,comenzar
comer,comar
comeran,comerar
comerciante,comercio
comere,comerar
comerio,comeriar
comes,comar
comet,cometer
cometa,cometer
cometido,cometer
cometio,cometiar
comi,comiar
comica,comic
comicidad,comic
comico,comic
comida,comar
comido,comar
comimos,comar
comio,comiar
comisario,comisaria
comisión,comision
comodamente,comoda
comodidad,comoda
comodo,comoda
comodín,comodin
compa,compar
companera,companerir
companerito,companerita
companero,companerir
comparacion,comparar
comparación,comparar
comparada,comparar
comparado,comparar
comparo,comparar
compartia,compartiar
compartido,compartir
compartimiento,compartir
compartio,compartiar
compartire,compartirar
compensacion,compensar
competencia,competente
competición,competicion
compilacion,compilar
compilado,compilar
compinchado,compinche
compinches,compinche
complejidad,complejo
completa,completar
completamente,completar
completo,completar
complicada,complicar
complicadisimo,complicadisimir
complicado,complicar
complice,complicar
complicidad,complicar
complico,complicar
componia,componiar
componiamos,componiar
comportamiento,comportar
compr,comprar
compra,comprar
comprado,comprar
compradora,comprador
compramo,comprame
compran,comprar
compraria,comprariar
comprario,comprariar
comprarme,comprar
comprarte,comprartar
compre,comprar
compren,comprar
comprend,comprender
comprenda,comprender
comprenderan,comprenderar
comprendido,comprender
comprendio,comprendi
comprendo,comprender
comprensible,comprensivo
comprimido,comprimir
comprir,comprar
compro,comprar
comprobamos,comprobar
comprobe,comprobar
comprometido,comprometer
compulsivamente,compulsivo
computadora,computacion
comunica,comun
comunicacion,comun
comunicación,comun
comunicado,comunicar
comunicador,comun
comunico,comun
comunidad,comun
comunismo,comun
comunista,comun
comunmente,comun
común,comun
concebia,concebiar
concebido,concebir
concentracion,concentrar
concentrado,concentrar
concentrico,concentrar
concheto,concheta
concho,concha
conciente,concient
conciso,concisar
concluia,conclui
conclusión,conclusion
concluyo,concluir
concretamente,concreto
concurrencia,concurrent
concurrido,concurrar
concurrir,concurrar
condena,condenar
condenado,condenar
condensacion,condensado
condicionamiento,condicion
condicionante,condicion
condición,condicion
condimentado,condimento
conectado,conectar
confeccionada,confeccionar
conferio,conferiar
confesamos,confesar
confesario,confesariar
confese,confesar
confesir,confesar
confeso,confesar
confie,confiar
confien,confiar
confio,confiar
confirmacion,confirmar
confirmir,confirmar
confiterio,confiteria
conformacion,conformar
conformado,conformar
conformaste,conformar
conforme,conformar
confrontacion,confrontar
confrontación,confrontar
confundi,confundiar
confundia,confundiar
confundido,confundar
